stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
ALT;18900801;-;-;-;960.9;307.8;-;16.9;-;-;-
ALT;18900901;-;-;-;967.2;39.9;-;14.3;-;-;-
ALT;18901001;-;-;-;964.6;131.9;-;7.8;-;-;-
ALT;18901101;-;-;-;958.3;67.2;-;4.4;-;-;-
ALT;18901201;-;-;-;957.9;13.5;-;-2;-;-;-
ALT;18910101;-;-;-;963.4;62.5;-;-4.1;-;-;-
ALT;18910201;-;-;-;973.4;17.6;-;-1.2;-;-;-
ALT;18910301;-;-;-;955.9;90.1;-;5.2;-;-;-
ALT;18910401;-;-;-;957.4;78.7;-;6.6;-;-;-
ALT;18910501;-;-;-;955.3;106.6;-;13.2;-;-;-
ALT;18910601;-;-;-;960.9;121.3;-;16.5;-;-;-
ALT;18910701;-;-;-;961.5;236.1;-;16.9;-;-;-
ALT;18910801;-;-;-;961.2;130.9;-;16.3;-;-;-
ALT;18910901;-;-;-;964.7;96.4;-;15.2;-;-;-
ALT;18911001;-;-;-;958.4;96.1;-;11.6;-;-;-
ALT;18911101;-;-;-;958.4;87.2;-;4.5;-;-;-
ALT;18911201;-;-;-;966.3;191.5;-;1.8;-;-;-
ALT;18920101;-;-;-;957.3;81.3;-;0.3;-;-;-
ALT;18920201;-;-;-;953.8;125.3;-;3.7;-;-;-
ALT;18920301;-;-;-;956.8;31.5;-;3.2;-;-;-
ALT;18920401;-;-;-;958;66;-;8.9;-;-;-
ALT;18920501;-;-;-;960.4;45.5;-;13.7;-;-;-
ALT;18920601;-;-;-;961.7;187.3;-;16.4;-;-;-
ALT;18920701;-;-;-;961.1;181;-;17.4;-;-;-
ALT;18920801;-;-;-;961.7;142.5;-;19.2;-;-;-
ALT;18920901;-;-;-;963.2;130.3;-;14.9;-;-;-
ALT;18921001;-;-;-;955.5;107.5;-;10.4;-;-;-
ALT;18921101;-;-;-;966.7;32.8;-;7.1;-;-;-
ALT;18921201;-;-;-;963.7;42.6;-;0;-;-;-
ALT;18930101;-;-;-;963.7;80;-;-3.1;-;-;-
ALT;18930201;-;-;-;961.6;82.4;-;3.9;-;-;-
ALT;18930301;-;-;-;968.5;29.8;-;6.6;-;-;-
ALT;18930401;-;-;-;965.3;11.3;-;12.4;-;-;-
ALT;18930501;-;-;-;964;109.7;-;13.9;-;-;-
ALT;18930601;-;-;-;963.5;95.1;-;16.8;-;-;-
ALT;18930701;-;-;-;963.1;225.3;-;18.2;-;-;-
ALT;18930801;-;-;-;966.8;55;-;18.6;-;-;-
ALT;18930901;-;-;-;963.4;124.2;-;15.2;-;-;-
ALT;18931001;-;-;-;965.3;78.9;-;12.5;-;-;-
ALT;18931101;-;-;-;961.7;108;-;4.9;-;-;-
ALT;18931201;-;-;-;968.3;19.5;-;2.4;-;-;-
ALT;18940101;-;-;-;965.2;9.9;-;0.3;-;-;-
ALT;18940201;-;-;-;969.9;84.9;-;2.3;-;-;-
ALT;18940301;-;-;-;963.9;46.7;-;6.5;-;-;-
ALT;18940401;-;-;-;960.6;51.1;-;12;-;-;-
ALT;18940501;-;-;-;960.1;103.6;-;13;-;-;-
ALT;18940601;-;-;-;965.9;83.7;-;16;-;-;-
ALT;18940701;-;-;-;964.8;188.7;-;18.9;-;-;-
ALT;18940801;-;-;-;966.3;129.5;-;17.5;-;-;-
ALT;18940901;-;-;-;965.9;98.7;-;13.8;-;-;-
ALT;18941001;-;-;-;962.9;75.6;-;10.7;-;-;-
ALT;18941101;-;-;-;967.4;31.8;-;6.6;-;-;-
ALT;18941201;-;-;-;966.6;75.5;-;0.9;-;-;-
ALT;18950101;-;-;-;952.4;64;-;-1.2;-;-;-
ALT;18950201;-;-;-;959.1;21.7;-;-3.3;-;-;-
ALT;18950301;-;-;-;957.8;90.4;-;4.5;-;-;-
ALT;18950401;-;-;-;960.7;57;-;10.6;-;-;-
ALT;18950501;-;-;-;963.6;100.7;-;13.8;-;-;-
ALT;18950601;-;-;-;965;137.8;-;17.2;-;-;-
ALT;18950701;-;-;-;964.4;129.7;-;19.4;-;-;-
ALT;18950801;-;-;-;966.4;115.4;-;17.9;-;-;-
ALT;18950901;-;-;-;970;9.5;-;17.6;-;-;-
ALT;18951001;-;-;-;961.1;86.5;-;10.9;-;-;-
ALT;18951101;-;-;-;965.9;42.7;-;8.2;-;-;-
